Letter,eng,fra,ger,spa,por,esp,ita,tur,swe,pol,ned,dan,ice,fin,cze
ł,0,0,0,0,0,0,0,0,0,0.02109,0,0,0,0,0
ñ,0,0,0,0.00311,0,0,0,0,0,0,0,0,0,0,0
ń,0,0,0,0,0,0,0,0,0,0.00362,0,0,0,0,0
ň,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00007
ò,0,0,0,0,0,0,0.00002,0,0,0,0,0,0,0,0
ö,0,0,0.00443,0,0,0,0,0.00777,0.01305,0,0,0,0.00777,0.00444,0
ô,0,0.00023,0,0,0.00635,0,0.0001,0,0,0,0,0,0,0,0
ó,0,0,0,0.00827,0.00296,0,0.0001,0,0,0.01141,0,0,0.00994,0,0.00024
õ,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0
ø,0,0,0,0,0,0,0,0,0,0,0,0.00939,0,0,0
ř,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038
ŝ,0,0,0,0,0,0.00385,0,0,0,0,0,0,0,0,0
ş,0,0,0,0,0,0,0,0.0178,0,0,0,0,0,0,0
ś,0,0,0,0,0,0,0,0,0,0.00814,0,0,0,0,0
š,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00688
ß,0,0,0.00307,0,0,0,0,0,0,0,0,0,0,0,0
ť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00006
þ,0,0,0,0,0,0,0,0,0,0,0,0,0.01455,0,0
ù,0,0.00058,0,0,0,0,0.00166,0,0,0,0,0,0,0,0
ú,0,0,0,0.00168,0.00207,0,0.00166,0,0,0,0,0,0.00613,0,0.00045
û,0,0.0006,0,0,0,0,0.0001,0,0,0,0,0,0,0,0
ŭ,0,0,0,0,0,0.0052,0,0,0,0,0,0,0,0,0
ü,0,0,0.00995,0.00012,0.00026,0,0,0.01854,0,0,0,0,0,0,0
ů,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204
ý,0,0,0,0,0,0,0,0,0,0,0,0,0.00228,0,0.00995
ź,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0
ż,0,0,0,0,0,0,0,0,0,0.00706,0,0,0,0,0
ž,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721
